Origin_ID;Origin_NAME;Origin_N_Displ;Origin_N_Receiv;Origin_LAT;Origin_LNG;Destin_ID;Destin_NAME;Destin_N_Displ;Destin_N_Receiv;Destin_LAT;Destin_LNG;Count
13030;ALTOS DEL ROSARIO;8931;715;8.792466;-74.165235;13670;SAN PABLO;21677;9063;7.477475;-73.924558;143
13030;ALTOS DEL ROSARIO;8931;715;8.792466;-74.165235;47001;SANTA MARTA;35085;143341;11.225703;-74.188397;135
13030;ALTOS DEL ROSARIO;8931;715;8.792466;-74.165235;54001;CÚCUTA;16922;91560;7.905267;-72.505591;116
13030;ALTOS DEL ROSARIO;8931;715;8.792466;-74.165235;13667;SAN MARTÍN DE LOBA;7468;978;8.936986;-74.037768;114
13030;ALTOS DEL ROSARIO;8931;715;8.792466;-74.165235;44430;MAICAO;9495;11363;11.378362;-72.241551;109
13030;ALTOS DEL ROSARIO;8931;715;8.792466;-74.165235;68406;LEBRIJA;4044;5446;7.113207;-73.219931;107
73026;ALVARADO;1887;247;4.568165;-74.952152;73001;IBAGUÉ;10112;75833;4.439631;-75.19635;731
73026;ALVARADO;1887;247;4.568165;-74.952152;11001;BOGOTÁ, D.C.;7290;536598;4.650528;-74.105972;456
5030;AMAGÁ;1696;1150;6.035834;-75.701762;5001;MEDELLÍN;41118;373898;6.248941;-75.577056;573
5030;AMAGÁ;1696;1150;6.035834;-75.701762;5088;BELLO;7634;45571;6.333786;-75.554448;162
5030;AMAGÁ;1696;1150;6.035834;-75.701762;5129;CALDAS;1262;3517;6.091578;-75.634494;125
5031;AMALFI;5295;1855;6.907032;-75.073577;5001;MEDELLÍN;41118;373898;6.248941;-75.577056;2770
5031;AMALFI;5295;1855;6.907032;-75.073577;5088;BELLO;7634;45571;6.333786;-75.554448;511
5031;AMALFI;5295;1855;6.907032;-75.073577;5360;ITAGÜÍ;3594;16505;6.169702;-75.613401;114
5031;AMALFI;5295;1855;6.907032;-75.073577;5736;SEGOVIA;12539;3141;7.07992;-74.6993;103
73030;AMBALEMA;792;245;4.785386;-74.761799;11001;BOGOTÁ, D.C.;7290;536598;4.650528;-74.105972;347
73030;AMBALEMA;792;245;4.785386;-74.761799;73001;IBAGUÉ;10112;75833;4.439631;-75.19635;114
25035;ANAPOIMA;290;723;4.562998;-74.530669;11001;BOGOTÁ, D.C.;7290;536598;4.650528;-74.105972;172
27450;ANDAGOYA;4718;651;5.096609;-76.69553;27361;ISTMINA;10924;8818;5.153351;-76.686002;2921
27450;ANDAGOYA;4718;651;5.096609;-76.69553;5001;MEDELLÍN;41118;373898;6.248941;-75.577056;382
27450;ANDAGOYA;4718;651;5.096609;-76.69553;27001;SAN FRANCISCO DE QUIBDO;19183;70189;5.692349;-76.651125;368
27450;ANDAGOYA;4718;651;5.096609;-76.69553;76109;BUENAVENTURA;95509;34393;3.875474;-77.011536;207
27450;ANDAGOYA;4718;651;5.096609;-76.69553;76001;SANTIAGO DE CALI;17084;148077;3.417587;-76.522332;179
27450;ANDAGOYA;4718;651;5.096609;-76.69553;11001;BOGOTÁ, D.C.;7290;536598;4.650528;-74.105972;148
76036;ANDALUCÍA;829;410;4.173485;-76.167114;76834;TULUÁ;10449;15352;4.085358;-76.197176;272
5034;ANDES;3509;2710;5.656885;-75.879251;5001;MEDELLÍN;41118;373898;6.248941;-75.577056;1614
5034;ANDES;3509;2710;5.656885;-75.879251;5360;ITAGÜÍ;3594;16505;6.169702;-75.613401;145
5034;ANDES;3509;2710;5.656885;-75.879251;5088;BELLO;7634;45571;6.333786;-75.554448;142
5034;ANDES;3509;2710;5.656885;-75.879251;11001;BOGOTÁ, D.C.;7290;536598;4.650528;-74.105972;142
5034;ANDES;3509;2710;5.656885;-75.879251;66001;PEREIRA;3693;54482;4.807002;-75.718267;115
5036;ANGELÓPOLIS;1108;323;6.113465;-75.715175;5001;MEDELLÍN;41118;373898;6.248941;-75.577056;349
5036;ANGELÓPOLIS;1108;323;6.113465;-75.715175;5129;CALDAS;1262;3517;6.091578;-75.634494;147
5038;ANGOSTURA;2127;331;6.885366;-75.334948;5001;MEDELLÍN;41118;373898;6.248941;-75.577056;970
5038;ANGOSTURA;2127;331;6.885366;-75.334948;5088;BELLO;7634;45571;6.333786;-75.554448;190
